T_row,Min NDVI,Max NDVI,Avg NDVI,Median NDVI
1,0.29289472,0.90524304,0.7761028,0.81946087
2,0.2996484,0.89841557,0.76965517,0.811888
3,0.30208635,0.9079444,0.7959645,0.8337045
4,0.28437713,0.90067923,0.7774858,0.82110584
5,0.26026008,0.91584474,0.81076807,0.8452939
6,0.28605533,0.9114588,0.805762,0.8463879
7,0.29004312,0.9203377,0.832236,0.86308485
8,0.24210446,0.9184454,0.833681,0.86768883
9,0.29137403,0.9222457,0.81438804,0.857017
10,0.2877915,0.9181584,0.82462823,0.85859984
11,0.30919117,0.9283281,0.837097,0.86348444
12,0.30898502,0.9225553,0.84565705,0.8681373
13,0.30986717,0.92291754,0.8309072,0.8655062
14,0.27254787,0.91911846,0.814245,0.86098266
15,0.2653583,0.92017156,0.8206798,0.85975075
16,0.27901828,0.92029107,0.8271804,0.8669967
17,0.2787051,0.9231958,0.8324399,0.8679848
18,0.2752437,0.9201364,0.8220758,0.8632684
19,0.25452316,0.9252815,0.82871157,0.8628489
20,0.27134895,0.926527,0.84425545,0.87504643
21,0.30237165,0.92659676,0.8486343,0.87403965
22,0.31062987,0.92667246,0.85243285,0.87217426
23,0.31996754,0.9275225,0.845638,0.8672899
24,0.31387496,0.92429507,0.8415059,0.86578107
25,0.31334138,0.9275628,0.8429973,0.8671291
26,0.30106854,0.9252872,0.82685345,0.85764813
27,0.3006248,0.9216051,0.8279045,0.85608745
28,0.28568178,0.92041016,0.8228712,0.8523969
29,0.30849776,0.92861724,0.84143406,0.868011
30,0.32741374,0.92790616,0.8550615,0.8686141
31,0.31069678,0.9292877,0.8492571,0.8698762
32,0.200529,0.9294346,0.83658963,0.8652201
33,0.20977724,0.9293191,0.84406775,0.8757662
34,0.27162436,0.92777747,0.8257092,0.87412155
35,0.26883352,0.9246789,0.8284654,0.8700502
36,0.29027757,0.9241406,0.82528543,0.8683102
37,0.27105024,0.9251171,0.829413,0.87006897
38,0.27076638,0.9287703,0.83130735,0.8758632
39,0.28125277,0.9310531,0.8315101,0.87292856
40,0.26975617,0.9251839,0.812203,0.8681798
41,0.27036777,0.9307427,0.8288533,0.87919366
42,0.2776988,0.9311004,0.8320263,0.878157
43,0.30004305,0.9310838,0.83230084,0.87668383
44,0.29676726,0.9271435,0.826428,0.86937654
45,0.28153872,0.92550814,0.8279351,0.8625617
46,0.30052745,0.9272474,0.83362675,0.8703815
47,0.288258,0.9189928,0.83798146,0.8700696
48,0.2821349,0.9189697,0.8170234,0.86352926
49,0.3011401,0.92468905,0.82821065,0.8732842
50,0.29812616,0.92237395,0.8335708,0.8740015
51,0.2953545,0.9221859,0.83021003,0.8670224
52,0.2922804,0.9171497,0.8261064,0.86284834
53,0.29242828,0.917272,0.8135673,0.8519016
54,0.29426122,0.91832954,0.8114459,0.8521789
55,0.29669967,0.9166188,0.8179209,0.85684013
56,0.29524663,0.91685724,0.82090765,0.86006427
57,0.29177734,0.9203543,0.82478446,0.8613631
58,0.2899149,0.91586405,0.7955135,0.85366726
59,0.14381747,0.9124006,0.75996166,0.8272101
60,0.27304754,0.9136522,0.7872327,0.8345156
61,0.27190557,0.9062015,0.7910287,0.83150095
62,0.28436148,0.91339463,0.8131062,0.85446
63,0.2848281,0.90483844,0.738986,0.8318608
